P1_Easy_EDA,P10_Hard_EDA,P10_Easy_EDA,P9_Hard_EDA,P9_Easy_EDA,P8_Hard_EDA,P8_Easy_EDA,P7_Hard_EDA,P7_Easy_EDA,P6_Hard_EDA,P6_Easy_EDA,P5_Hard_EDA,P5_Easy_EDA,P4_Hard_EDA,P4_Easy_EDA,P3_Hard_EDA,P3_Easy_EDA,P2_Hard_EDA,P2_Easy_EDA,P1_Hard_EDA
0.074308,0.12683599999999998,0.064059,0.090958,0.13068,1.5519399999999999,2.510765,0.593487,0.6418699999999999,0.029467,0.032029,0.026905000000000002,0.028186000000000003,0.067902,0.024342,0.028186000000000003,0.028186000000000003,0.7061529999999999,0.947126,0.060215
0.071746,0.124274,0.062778,0.090958,0.13068,1.5673139999999999,2.4992349999999997,0.579394,0.644432,0.029467,0.029467,0.026905000000000002,0.029467,0.064059,0.024342,0.028186000000000003,0.028186000000000003,0.703591,0.9509690000000001,0.061496
0.073027,0.12171199999999999,0.064059,0.092239,0.12939900000000001,1.576283,2.497953,0.57555,0.640588,0.029467,0.034592000000000005,0.025624,0.028186000000000003,0.064059,0.023061,0.028186000000000003,0.026905000000000002,0.699747,0.9548129999999999,0.057652999999999996
0.073027,0.128118,0.064059,0.09352,0.13068,1.578845,2.508203,0.569144,0.643151,0.033311,0.035873,0.028186000000000003,0.030748,0.064059,0.025624,0.029467,0.028186000000000003,0.697185,0.976593,0.060215
0.073027,0.117868,0.064059,0.092239,0.13068,1.58397,2.468486,0.5512060000000001,0.6418699999999999,0.033311,0.034592000000000005,0.025624,0.028186000000000003,0.06534,0.024342,0.028186000000000003,0.026905000000000002,0.695904,0.9945290000000001,0.058934
0.071746,0.1089,0.064059,0.092239,0.12939900000000001,1.58397,2.4851419999999997,0.5383939999999999,0.640588,0.033311,0.030748,0.026905000000000002,0.029467,0.06534,0.024342,0.028186000000000003,0.026905000000000002,0.693342,0.986842,0.060215
0.073027,0.10633800000000002,0.064059,0.092239,0.12939900000000001,1.586532,2.522296,0.5358310000000001,0.639307,0.033311,0.033311,0.025624,0.028186000000000003,0.067902,0.023061,0.026905000000000002,0.026905000000000002,0.6907800000000001,0.9548129999999999,0.060215
0.073027,0.105056,0.062778,0.09352,0.12939900000000001,1.587813,2.555606,0.531987,0.6418699999999999,0.035873,0.029467,0.026905000000000002,0.029467,0.066621,0.024342,0.028186000000000003,0.028186000000000003,0.6907800000000001,0.942001,0.061496
0.071746,0.102494,0.064059,0.092239,0.12939900000000001,1.58397,2.608135,0.528144,0.640588,0.037154,0.030748,0.033311,0.026905000000000002,0.06918400000000001,0.023061,0.026905000000000002,0.026905000000000002,0.6894979999999999,0.934314,0.060215
0.073027,0.103775,0.062778,0.09352,0.12939900000000001,1.577564,2.632477,0.530706,0.640588,0.040998,0.029467,0.029467,0.029467,0.066621,0.024342,0.028186000000000003,0.028186000000000003,0.6894979999999999,0.924064,0.058934
0.071746,0.105056,0.06534,0.092239,0.12939900000000001,1.57372,2.5825110000000002,0.520456,0.639307,0.035873,0.032029,0.025624,0.028186000000000003,0.06918400000000001,0.024342,0.026905000000000002,0.026905000000000002,0.6894979999999999,0.888191,0.060215
